smiles,prediction,faithfulness_score,validation_passed,rejection_reason,generation_attempts,n_toxicophores,score_causal,score_counterfactual,score_grounding
CCCCC(=O)Cl,0.013264610432088375,1.0,True,,1,0,1.0,1.0,1.0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.14739762246608734,1.0,True,,1,0,1.0,1.0,1.0
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,0.07110758870840073,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CC(=O)N[C@H]([C@@H](O)CC(=O)C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,0.050237398594617844,1.0,True,,1,0,1.0,1.0,1.0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@@](OC(=O)C=Cc2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@@H]1O,0.08882243186235428,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@@H](OC)[C@@H](C)O5)[C@@H](OC(=O)O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@@H](OC(C)=O)[C@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,0.35327932238578796,1.0,True,,1,1,1.0,1.0,1.0
CCCCCCC(=O)CCCCCC/C=C/C[C@@H](O)[C@H](O)[C@@](N)(CO)C(=O)O,0.08138532191514969,1.0,True,,1,0,1.0,1.0,1.0
CCC1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)C=C[C@]2(C)OC2C1C,0.1421629786491394,1.0,True,,1,0,1.0,1.0,1.0
CC(C)CCOC(=O)c1ccccc1,0.09415248781442642,1.0,True,,1,0,1.0,1.0,1.0
Cc1cc(C)c(C)c(O)c1,0.04201224073767662,1.0,True,,1,0,1.0,1.0,1.0
CCC(=O)OCCC(C)CCC=C(C)C,0.030437037348747253,1.0,True,,1,0,1.0,1.0,1.0
CC(C)COC(=O)c1ccccc1O,0.18613825738430023,1.0,True,,1,0,1.0,1.0,1.0
CC(C)CCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC(C)C)c(C(=O)OCCCCCCCC(C)C)c1,0.09254854172468185,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCCCCC(=O)O.OCCN(CCO)CCO,0.0824093297123909,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCC(=O)OCC(C)OC(=O)CCCCCCCC,0.018653133884072304,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCCCOC(C)=O,0.028360867872834206,1.0,True,,1,0,1.0,1.0,1.0
CC(=O)OCCC1CCCCC1,0.03958612680435181,1.0,True,,1,0,1.0,1.0,1.0
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,0.3359711468219757,1.0,True,,1,1,1.0,1.0,1.0
